,country,year,sex-age,cases,sex,age
152,AM,1987,m04,,m,0-4
153,AM,1988,m04,,m,0-4
154,AM,1989,m04,,m,0-4
155,AM,1990,m04,,m,0-4
156,AM,1991,m04,,m,0-4
157,AM,1992,m04,,m,0-4
158,AM,1993,m04,,m,0-4
159,AM,1994,m04,,m,0-4
160,AM,1995,m04,,m,0-4
161,AM,1996,m04,,m,0-4
162,AM,1997,m04,,m,0-4
163,AM,1998,m04,,m,0-4
164,AM,1999,m04,,m,0-4
165,AM,2000,m04,,m,0-4
166,AM,2001,m04,,m,0-4
167,AM,2002,m04,,m,0-4
168,AM,2003,m04,,m,0-4
169,AM,2004,m04,,m,0-4
170,AM,2005,m04,1.0,m,0-4
171,AM,2006,m04,0.0,m,0-4
172,AM,2007,m04,0.0,m,0-4
173,AM,2008,m04,0.0,m,0-4
174,AN,1996,m04,,m,0-4
175,AN,1997,m04,,m,0-4
176,AN,1998,m04,,m,0-4
177,AN,1999,m04,,m,0-4
178,AN,2000,m04,,m,0-4
179,AN,2001,m04,,m,0-4
180,AN,2002,m04,,m,0-4
181,AN,2003,m04,,m,0-4
182,AN,2004,m04,,m,0-4
183,AN,2005,m04,,m,0-4
184,AN,2006,m04,0.0,m,0-4
185,AN,2007,m04,,m,0-4
186,AN,2008,m04,,m,0-4
187,AO,1980,m04,,m,0-4
188,AO,1981,m04,,m,0-4
189,AO,1982,m04,,m,0-4
190,AO,1983,m04,,m,0-4
191,AO,1984,m04,,m,0-4
192,AO,1985,m04,,m,0-4
193,AO,1986,m04,,m,0-4
194,AO,1987,m04,,m,0-4
195,AO,1988,m04,,m,0-4
196,AO,1989,m04,,m,0-4
197,AO,1990,m04,,m,0-4
198,AO,1991,m04,,m,0-4
199,AO,1992,m04,,m,0-4
200,AO,1993,m04,,m,0-4
201,AO,1994,m04,,m,0-4
202,AO,1995,m04,,m,0-4
203,AO,1996,m04,,m,0-4
204,AO,1997,m04,,m,0-4
205,AO,1998,m04,,m,0-4
206,AO,1999,m04,,m,0-4
207,AO,2000,m04,,m,0-4
208,AO,2001,m04,,m,0-4
209,AO,2002,m04,,m,0-4
210,AO,2003,m04,,m,0-4
211,AO,2004,m04,,m,0-4
212,AO,2005,m04,,m,0-4
213,AO,2006,m04,,m,0-4
214,AO,2007,m04,,m,0-4
215,AO,2008,m04,,m,0-4
216,AR,1980,m04,,m,0-4
217,AR,1981,m04,,m,0-4
218,AR,1982,m04,,m,0-4
219,AR,1983,m04,,m,0-4
220,AR,1984,m04,,m,0-4
221,AR,1985,m04,,m,0-4
222,AR,1986,m04,,m,0-4
223,AR,1987,m04,,m,0-4
224,AR,1988,m04,,m,0-4
225,AR,1989,m04,,m,0-4
226,AR,1990,m04,,m,0-4
227,AR,1991,m04,,m,0-4
228,AR,1992,m04,,m,0-4
229,AR,1993,m04,,m,0-4
230,AR,1994,m04,,m,0-4
231,AR,1995,m04,,m,0-4
232,AR,1996,m04,,m,0-4
233,AR,1997,m04,,m,0-4
234,AR,1998,m04,,m,0-4
235,AR,1999,m04,,m,0-4
236,AR,2000,m04,,m,0-4
237,AR,2001,m04,,m,0-4
238,AR,2002,m04,,m,0-4
239,AR,2003,m04,,m,0-4
240,AR,2004,m04,,m,0-4
241,AR,2005,m04,,m,0-4
242,AR,2006,m04,19.0,m,0-4
243,AR,2007,m04,14.0,m,0-4
244,AR,2008,m04,11.0,m,0-4
245,AS,1980,m04,,m,0-4
246,AS,1981,m04,,m,0-4
247,AS,1982,m04,,m,0-4
248,AS,1983,m04,,m,0-4
249,AS,1984,m04,,m,0-4
250,AS,1985,m04,,m,0-4
251,AS,1986,m04,,m,0-4
252,AS,1987,m04,,m,0-4
253,AS,1988,m04,,m,0-4
254,AS,1989,m04,,m,0-4
255,AS,1990,m04,,m,0-4
256,AS,1991,m04,,m,0-4
257,AS,1992,m04,,m,0-4
258,AS,1993,m04,,m,0-4
259,AS,1994,m04,,m,0-4
260,AS,1995,m04,,m,0-4
261,AS,1996,m04,,m,0-4
262,AS,1997,m04,,m,0-4
263,AS,1998,m04,,m,0-4
264,AS,1999,m04,,m,0-4
265,AS,2000,m04,,m,0-4
266,AS,2001,m04,,m,0-4
267,AS,2002,m04,,m,0-4
268,AS,2003,m04,,m,0-4
269,AS,2004,m04,,m,0-4
270,AS,2005,m04,,m,0-4
271,AS,2006,m04,,m,0-4
272,AS,2007,m04,,m,0-4
273,AS,2008,m04,,m,0-4
274,AT,1980,m04,,m,0-4
275,AT,1981,m04,,m,0-4
276,AT,1982,m04,,m,0-4
277,AT,1983,m04,,m,0-4
278,AT,1984,m04,,m,0-4
279,AT,1985,m04,,m,0-4
280,AT,1986,m04,,m,0-4
281,AT,1987,m04,,m,0-4
282,AT,1988,m04,,m,0-4
283,AT,1989,m04,,m,0-4
284,AT,1990,m04,,m,0-4
285,AT,1991,m04,,m,0-4
286,AT,1992,m04,,m,0-4
287,AT,1993,m04,,m,0-4
288,AT,1994,m04,,m,0-4
289,AT,1995,m04,,m,0-4
290,AT,1996,m04,,m,0-4
291,AT,1997,m04,,m,0-4
292,AT,1998,m04,,m,0-4
293,AT,1999,m04,,m,0-4
294,AT,2000,m04,,m,0-4
295,AT,2001,m04,,m,0-4
296,AT,2002,m04,,m,0-4
297,AT,2003,m04,,m,0-4
298,AT,2004,m04,,m,0-4
299,AT,2005,m04,1.0,m,0-4
300,AT,2006,m04,0.0,m,0-4
301,AT,2007,m04,,m,0-4
302,AT,2008,m04,,m,0-4
303,AU,1980,m04,,m,0-4
304,AU,1981,m04,,m,0-4
305,AU,1982,m04,,m,0-4
306,AU,1983,m04,,m,0-4
307,AU,1984,m04,,m,0-4
308,AU,1985,m04,,m,0-4
309,AU,1986,m04,,m,0-4
310,AU,1987,m04,,m,0-4
311,AU,1988,m04,,m,0-4
312,AU,1989,m04,,m,0-4
313,AU,1990,m04,,m,0-4
314,AU,1991,m04,,m,0-4
315,AU,1992,m04,,m,0-4
316,AU,1993,m04,,m,0-4
317,AU,1994,m04,,m,0-4
318,AU,1995,m04,,m,0-4
319,AU,1996,m04,,m,0-4
320,AU,1997,m04,,m,0-4
321,AU,1998,m04,,m,0-4
322,AU,1999,m04,,m,0-4
323,AU,2000,m04,,m,0-4
324,AU,2001,m04,,m,0-4
325,AU,2002,m04,,m,0-4
326,AU,2003,m04,,m,0-4
327,AU,2004,m04,,m,0-4
328,AU,2005,m04,,m,0-4
329,AU,2006,m04,1.0,m,0-4
330,AU,2007,m04,0.0,m,0-4
331,AU,2008,m04,,m,0-4
332,AZ,1980,m04,,m,0-4
333,AZ,1981,m04,,m,0-4
334,AZ,1982,m04,,m,0-4
335,AZ,1983,m04,,m,0-4
336,AZ,1984,m04,,m,0-4
337,AZ,1985,m04,,m,0-4
338,AZ,1986,m04,,m,0-4
339,AZ,1987,m04,,m,0-4
340,AZ,1988,m04,,m,0-4
341,AZ,1989,m04,,m,0-4
342,AZ,1990,m04,,m,0-4
343,AZ,1991,m04,,m,0-4
344,AZ,1992,m04,,m,0-4
345,AZ,1993,m04,,m,0-4
346,AZ,1994,m04,,m,0-4
347,AZ,1995,m04,,m,0-4
348,AZ,1996,m04,,m,0-4
349,AZ,1997,m04,,m,0-4
350,AZ,1998,m04,,m,0-4
351,AZ,1999,m04,,m,0-4
352,AZ,2000,m04,,m,0-4
353,AZ,2001,m04,,m,0-4
354,AZ,2002,m04,,m,0-4
355,AZ,2003,m04,,m,0-4
356,AZ,2004,m04,,m,0-4
357,AZ,2005,m04,2.0,m,0-4
358,AZ,2006,m04,1.0,m,0-4
359,AZ,2007,m04,,m,0-4
360,AZ,2008,m04,,m,0-4
361,BA,1980,m04,,m,0-4
362,BA,1981,m04,,m,0-4
363,BA,1982,m04,,m,0-4
364,BA,1983,m04,,m,0-4
365,BA,1984,m04,,m,0-4
366,BA,1985,m04,,m,0-4
367,BA,1986,m04,,m,0-4
368,BA,1987,m04,,m,0-4
369,BA,1988,m04,,m,0-4
370,BA,1989,m04,,m,0-4
371,BA,1990,m04,,m,0-4
372,BA,1991,m04,,m,0-4
373,BA,1992,m04,,m,0-4
374,BA,1993,m04,,m,0-4
375,BA,1994,m04,,m,0-4
376,BA,1995,m04,,m,0-4
377,BA,1996,m04,,m,0-4
378,BA,1997,m04,,m,0-4
379,BA,1998,m04,,m,0-4
380,BA,1999,m04,,m,0-4
381,BA,2000,m04,,m,0-4
382,BA,2001,m04,,m,0-4
383,BA,2002,m04,,m,0-4
384,BA,2003,m04,,m,0-4
385,BA,2004,m04,,m,0-4
386,BA,2005,m04,0.0,m,0-4
387,BA,2006,m04,0.0,m,0-4
388,BA,2007,m04,0.0,m,0-4
389,BA,2008,m04,0.0,m,0-4
390,BB,1980,m04,,m,0-4
391,BB,1981,m04,,m,0-4
392,BB,1982,m04,,m,0-4
393,BB,1983,m04,,m,0-4
394,BB,1984,m04,,m,0-4
395,BB,1985,m04,,m,0-4
396,BB,1986,m04,,m,0-4
397,BB,1987,m04,,m,0-4
398,BB,1988,m04,,m,0-4
399,BB,1989,m04,,m,0-4
400,BB,1990,m04,,m,0-4
401,BB,1991,m04,,m,0-4
402,BB,1992,m04,,m,0-4
403,BB,1995,m04,,m,0-4
404,BB,1996,m04,,m,0-4
405,BB,1997,m04,,m,0-4
406,BB,1998,m04,,m,0-4
407,BB,1999,m04,,m,0-4
408,BB,2000,m04,,m,0-4
409,BB,2001,m04,,m,0-4
410,BB,2002,m04,,m,0-4
411,BB,2003,m04,,m,0-4
412,BB,2004,m04,,m,0-4
413,BB,2005,m04,,m,0-4
414,BB,2006,m04,,m,0-4
415,BB,2007,m04,0.0,m,0-4
416,BB,2008,m04,0.0,m,0-4
417,BD,1980,m04,,m,0-4
418,BD,1981,m04,,m,0-4
419,BD,1982,m04,,m,0-4
420,BD,1983,m04,,m,0-4
421,BD,1984,m04,,m,0-4
422,BD,1985,m04,,m,0-4
423,BD,1986,m04,,m,0-4
424,BD,1987,m04,,m,0-4
425,BD,1988,m04,,m,0-4
426,BD,1989,m04,,m,0-4
427,BD,1990,m04,,m,0-4
428,BD,1991,m04,,m,0-4
429,BD,1992,m04,,m,0-4
430,BD,1993,m04,,m,0-4
431,BD,1994,m04,,m,0-4
432,BD,1995,m04,,m,0-4
433,BD,1996,m04,,m,0-4
434,BD,1997,m04,,m,0-4
435,BD,1998,m04,,m,0-4
436,BD,1999,m04,,m,0-4
437,BD,2000,m04,,m,0-4
438,BD,2001,m04,,m,0-4
439,BD,2002,m04,,m,0-4
440,BD,2003,m04,,m,0-4
441,BD,2004,m04,,m,0-4
442,BD,2005,m04,,m,0-4
443,BD,2006,m04,,m,0-4
444,BD,2007,m04,,m,0-4
445,BD,2008,m04,,m,0-4
446,BE,1980,m04,,m,0-4
447,BE,1981,m04,,m,0-4
448,BE,1982,m04,,m,0-4
449,BE,1983,m04,,m,0-4
450,BE,1984,m04,,m,0-4
451,BE,1985,m04,,m,0-4
452,BE,1986,m04,,m,0-4
453,BE,1987,m04,,m,0-4
454,BE,1988,m04,,m,0-4
455,BE,1989,m04,,m,0-4
456,BE,1990,m04,,m,0-4
457,BE,1991,m04,,m,0-4
458,BE,1992,m04,,m,0-4
459,BE,1993,m04,,m,0-4
460,BE,1994,m04,,m,0-4
461,BE,1995,m04,,m,0-4
462,BE,1996,m04,,m,0-4
463,BE,1997,m04,,m,0-4
464,BE,1998,m04,,m,0-4
465,BE,1999,m04,,m,0-4
466,BE,2000,m04,,m,0-4
467,BE,2001,m04,,m,0-4
468,BE,2002,m04,,m,0-4
469,BE,2003,m04,,m,0-4
470,BE,2004,m04,,m,0-4
471,BE,2005,m04,1.0,m,0-4
472,BE,2006,m04,3.0,m,0-4
473,BE,2007,m04,1.0,m,0-4
474,BE,2008,m04,2.0,m,0-4
475,BF,1980,m04,,m,0-4
476,BF,1981,m04,,m,0-4
477,BF,1982,m04,,m,0-4
478,BF,1983,m04,,m,0-4
479,BF,1984,m04,,m,0-4
480,BF,1985,m04,,m,0-4
481,BF,1986,m04,,m,0-4
482,BF,1987,m04,,m,0-4
483,BF,1988,m04,,m,0-4
484,BF,1989,m04,,m,0-4
485,BF,1990,m04,,m,0-4
486,BF,1991,m04,,m,0-4
487,BF,1993,m04,,m,0-4
488,BF,1994,m04,,m,0-4
489,BF,1995,m04,,m,0-4
490,BF,1996,m04,,m,0-4
491,BF,1997,m04,,m,0-4
492,BF,1998,m04,,m,0-4
493,BF,1999,m04,,m,0-4
494,BF,2000,m04,,m,0-4
495,BF,2001,m04,,m,0-4
496,BF,2002,m04,,m,0-4
497,BF,2003,m04,,m,0-4
498,BF,2004,m04,,m,0-4
499,BF,2005,m04,,m,0-4
500,BF,2006,m04,,m,0-4
501,BF,2007,m04,2.0,m,0-4
502,BF,2008,m04,,m,0-4
503,BG,1980,m04,,m,0-4
504,BG,1981,m04,,m,0-4
505,BG,1982,m04,,m,0-4
506,BG,1983,m04,,m,0-4
507,BG,1984,m04,,m,0-4
508,BG,1985,m04,,m,0-4
509,BG,1986,m04,,m,0-4
510,BG,1987,m04,,m,0-4
511,BG,1988,m04,,m,0-4
512,BG,1989,m04,,m,0-4
513,BG,1990,m04,,m,0-4
514,BG,1991,m04,,m,0-4
515,BG,1992,m04,,m,0-4
516,BG,1993,m04,,m,0-4
517,BG,1994,m04,,m,0-4
518,BG,1995,m04,,m,0-4
519,BG,1996,m04,,m,0-4
520,BG,1997,m04,,m,0-4
521,BG,1998,m04,,m,0-4
522,BG,1999,m04,,m,0-4
523,BG,2000,m04,,m,0-4
524,BG,2001,m04,,m,0-4
525,BG,2002,m04,,m,0-4
526,BG,2003,m04,,m,0-4
527,BG,2004,m04,,m,0-4
528,BG,2005,m04,0.0,m,0-4
529,BG,2006,m04,,m,0-4
530,BG,2007,m04,2.0,m,0-4
531,BG,2008,m04,1.0,m,0-4
532,BH,1980,m04,,m,0-4
533,BH,1981,m04,,m,0-4
534,BH,1982,m04,,m,0-4
535,BH,1983,m04,,m,0-4
536,BH,1984,m04,,m,0-4
537,BH,1985,m04,,m,0-4
538,BH,1986,m04,,m,0-4
539,BH,1987,m04,,m,0-4
540,BH,1988,m04,,m,0-4
541,BH,1989,m04,,m,0-4
542,BH,1990,m04,,m,0-4
543,BH,1991,m04,,m,0-4
544,BH,1992,m04,,m,0-4
545,BH,1993,m04,,m,0-4
546,BH,1995,m04,,m,0-4
547,BH,1996,m04,,m,0-4
548,BH,1997,m04,,m,0-4
549,BH,1998,m04,,m,0-4
550,BH,1999,m04,,m,0-4
551,BH,2000,m04,,m,0-4
552,BH,2001,m04,,m,0-4
553,BH,2002,m04,,m,0-4
554,BH,2003,m04,,m,0-4
555,BH,2004,m04,,m,0-4
556,BH,2005,m04,,m,0-4
557,BH,2006,m04,,m,0-4
558,BH,2007,m04,,m,0-4
559,BH,2008,m04,0.0,m,0-4
560,BI,1980,m04,,m,0-4
561,BI,1981,m04,,m,0-4
562,BI,1982,m04,,m,0-4
563,BI,1983,m04,,m,0-4
564,BI,1984,m04,,m,0-4
565,BI,1985,m04,,m,0-4
566,BI,1986,m04,,m,0-4
567,BI,1987,m04,,m,0-4
568,BI,1988,m04,,m,0-4
569,BI,1989,m04,,m,0-4
570,BI,1990,m04,,m,0-4
571,BI,1991,m04,,m,0-4
572,BI,1992,m04,,m,0-4
573,BI,1993,m04,,m,0-4
574,BI,1994,m04,,m,0-4
575,BI,1995,m04,,m,0-4
576,BI,1996,m04,,m,0-4
577,BI,1997,m04,,m,0-4
578,BI,1998,m04,,m,0-4
579,BI,1999,m04,,m,0-4
580,BI,2000,m04,,m,0-4
581,BI,2001,m04,,m,0-4
582,BI,2002,m04,,m,0-4
583,BI,2003,m04,,m,0-4
584,BI,2004,m04,,m,0-4
585,BI,2005,m04,,m,0-4
586,BI,2006,m04,,m,0-4
587,BI,2007,m04,0.0,m,0-4
588,BI,2008,m04,,m,0-4
589,BJ,1980,m04,,m,0-4
590,BJ,1981,m04,,m,0-4
591,BJ,1982,m04,,m,0-4
592,BJ,1983,m04,,m,0-4
593,BJ,1984,m04,,m,0-4
594,BJ,1985,m04,,m,0-4
595,BJ,1986,m04,,m,0-4
596,BJ,1987,m04,,m,0-4
597,BJ,1988,m04,,m,0-4
598,BJ,1989,m04,,m,0-4
599,BJ,1990,m04,,m,0-4
600,BJ,1991,m04,,m,0-4
601,BJ,1992,m04,,m,0-4
602,BJ,1993,m04,,m,0-4
603,BJ,1994,m04,,m,0-4
604,BJ,1995,m04,,m,0-4
605,BJ,1996,m04,,m,0-4
606,BJ,1997,m04,,m,0-4
607,BJ,1998,m04,,m,0-4
608,BJ,1999,m04,,m,0-4
609,BJ,2000,m04,,m,0-4
610,BJ,2001,m04,,m,0-4
611,BJ,2002,m04,,m,0-4
612,BJ,2003,m04,,m,0-4
613,BJ,2004,m04,,m,0-4
614,BJ,2005,m04,,m,0-4
615,BJ,2006,m04,,m,0-4
616,BJ,2007,m04,,m,0-4
617,BJ,2008,m04,,m,0-4
618,BM,1980,m04,,m,0-4
619,BM,1981,m04,,m,0-4
620,BM,1982,m04,,m,0-4
621,BM,1983,m04,,m,0-4
622,BM,1984,m04,,m,0-4
623,BM,1985,m04,,m,0-4
624,BM,1986,m04,,m,0-4
625,BM,1987,m04,,m,0-4
626,BM,1988,m04,,m,0-4
627,BM,1989,m04,,m,0-4
628,BM,1990,m04,,m,0-4
629,BM,1991,m04,,m,0-4
630,BM,1992,m04,,m,0-4
631,BM,1995,m04,,m,0-4
632,BM,1996,m04,,m,0-4
633,BM,1997,m04,,m,0-4
634,BM,1998,m04,,m,0-4
635,BM,1999,m04,,m,0-4
636,BM,2000,m04,,m,0-4
637,BM,2001,m04,,m,0-4
638,BM,2002,m04,,m,0-4
639,BM,2003,m04,,m,0-4
640,BM,2004,m04,,m,0-4
641,BM,2005,m04,,m,0-4
642,BM,2006,m04,,m,0-4
643,BM,2007,m04,,m,0-4
644,BM,2008,m04,,m,0-4
645,BN,1980,m04,,m,0-4
646,BN,1981,m04,,m,0-4
647,BN,1982,m04,,m,0-4
648,BN,1983,m04,,m,0-4
649,BN,1984,m04,,m,0-4
650,BN,1985,m04,,m,0-4
651,BN,1986,m04,,m,0-4
652,BN,1987,m04,,m,0-4
653,BN,1988,m04,,m,0-4
654,BN,1989,m04,,m,0-4
655,BN,1990,m04,,m,0-4
656,BN,1992,m04,,m,0-4
657,BN,1993,m04,,m,0-4
658,BN,1997,m04,,m,0-4
659,BN,1998,m04,,m,0-4
660,BN,1999,m04,,m,0-4
661,BN,2000,m04,,m,0-4
662,BN,2001,m04,,m,0-4
663,BN,2002,m04,,m,0-4
664,BN,2003,m04,,m,0-4
665,BN,2004,m04,,m,0-4
666,BN,2005,m04,,m,0-4
667,BN,2006,m04,,m,0-4
668,BN,2007,m04,0.0,m,0-4
669,BN,2008,m04,0.0,m,0-4
670,BO,1980,m04,,m,0-4
671,BO,1981,m04,,m,0-4
672,BO,1982,m04,,m,0-4
673,BO,1983,m04,,m,0-4
674,BO,1984,m04,,m,0-4
675,BO,1985,m04,,m,0-4
676,BO,1986,m04,,m,0-4
677,BO,1987,m04,,m,0-4
678,BO,1988,m04,,m,0-4
679,BO,1989,m04,,m,0-4
680,BO,1990,m04,,m,0-4
681,BO,1991,m04,,m,0-4
682,BO,1992,m04,,m,0-4
683,BO,1993,m04,,m,0-4
684,BO,1994,m04,,m,0-4
685,BO,1995,m04,,m,0-4
686,BO,1996,m04,,m,0-4
687,BO,1997,m04,,m,0-4
688,BO,1998,m04,,m,0-4
689,BO,1999,m04,,m,0-4
690,BO,2000,m04,,m,0-4
691,BO,2001,m04,,m,0-4
692,BO,2002,m04,,m,0-4
693,BO,2003,m04,,m,0-4
694,BO,2004,m04,,m,0-4
695,BO,2005,m04,,m,0-4
696,BO,2006,m04,,m,0-4
697,BO,2007,m04,,m,0-4
698,BO,2008,m04,,m,0-4
699,BR,1980,m04,,m,0-4
700,BR,1981,m04,,m,0-4
701,BR,1982,m04,,m,0-4
702,BR,1983,m04,,m,0-4
703,BR,1984,m04,,m,0-4
704,BR,1985,m04,,m,0-4
705,BR,1986,m04,,m,0-4
706,BR,1987,m04,,m,0-4
707,BR,1988,m04,,m,0-4
708,BR,1989,m04,,m,0-4
709,BR,1990,m04,,m,0-4
710,BR,1991,m04,,m,0-4
711,BR,1992,m04,,m,0-4
712,BR,1994,m04,,m,0-4
713,BR,1995,m04,,m,0-4
714,BR,1996,m04,,m,0-4
715,BR,1997,m04,,m,0-4
716,BR,1998,m04,,m,0-4
717,BR,1999,m04,,m,0-4
718,BR,2000,m04,,m,0-4
719,BR,2001,m04,,m,0-4
720,BR,2002,m04,,m,0-4
721,BR,2003,m04,,m,0-4
722,BR,2004,m04,,m,0-4
723,BR,2005,m04,,m,0-4
724,BR,2006,m04,136.0,m,0-4
725,BR,2007,m04,175.0,m,0-4
726,BR,2008,m04,115.0,m,0-4
727,BS,1980,m04,,m,0-4
728,BS,1981,m04,,m,0-4
729,BS,1982,m04,,m,0-4
730,BS,1983,m04,,m,0-4
731,BS,1984,m04,,m,0-4
732,BS,1985,m04,,m,0-4
733,BS,1986,m04,,m,0-4
734,BS,1987,m04,,m,0-4
735,BS,1988,m04,,m,0-4
736,BS,1989,m04,,m,0-4
737,BS,1990,m04,,m,0-4
738,BS,1991,m04,,m,0-4
739,BS,1992,m04,,m,0-4
740,BS,1993,m04,,m,0-4
741,BS,1994,m04,,m,0-4
742,BS,1995,m04,,m,0-4
743,BS,1996,m04,,m,0-4
744,BS,1997,m04,,m,0-4
745,BS,1998,m04,,m,0-4
746,BS,1999,m04,,m,0-4
747,BS,2000,m04,,m,0-4
748,BS,2001,m04,,m,0-4
749,BS,2002,m04,,m,0-4
750,BS,2003,m04,,m,0-4
751,BS,2004,m04,,m,0-4
752,BS,2006,m04,,m,0-4
753,BS,2007,m04,0.0,m,0-4
754,BS,2008,m04,0.0,m,0-4
755,BT,1980,m04,,m,0-4
756,BT,1981,m04,,m,0-4
757,BT,1982,m04,,m,0-4
758,BT,1983,m04,,m,0-4
759,BT,1984,m04,,m,0-4
760,BT,1985,m04,,m,0-4
761,BT,1986,m04,,m,0-4
762,BT,1987,m04,,m,0-4
763,BT,1988,m04,,m,0-4
